Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,<1 year,0.013,0.012,armenia,0.0125
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,armenia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,armenia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,armenia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,armenia,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,armenia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,armenia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,armenia,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,armenia,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.004,0.001,armenia,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.006,0.002,armenia,0.004
nMx - age-specific death rate between ages x and x+n,50-54 years,0.009,0.003,armenia,0.006
nMx - age-specific death rate between ages x and x+n,55-59 years,0.014,0.005,armenia,0.0095
nMx - age-specific death rate between ages x and x+n,60-64 years,0.024,0.01,armenia,0.017
nMx - age-specific death rate between ages x and x+n,65-69 years,0.031,0.015,armenia,0.023
nMx - age-specific death rate between ages x and x+n,70-74 years,0.058,0.033,armenia,0.0455
nMx - age-specific death rate between ages x and x+n,75-79 years,0.066,0.043,armenia,0.0545
nMx - age-specific death rate between ages x and x+n,80-84 years,0.112,0.106,armenia,0.109
nMx - age-specific death rate between ages x and x+n,85+ years,0.186,0.174,armenia,0.18
nMx - age-specific death rate between ages x and x+n,<1 year,0.026,0.025,azerbaijan,0.0255
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,azerbaijan,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,azerbaijan,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,azerbaijan,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,azerbaijan,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,azerbaijan,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,azerbaijan,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,azerbaijan,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,azerbaijan,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.001,azerbaijan,0.002
nMx - age-specific death rate between ages x and x+n,45-49 years,0.005,0.002,azerbaijan,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.004,azerbaijan,0.006
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.006,azerbaijan,0.0095
nMx - age-specific death rate between ages x and x+n,60-64 years,0.022,0.011,azerbaijan,0.0165
nMx - age-specific death rate between ages x and x+n,65-69 years,0.03,0.017,azerbaijan,0.0235
nMx - age-specific death rate between ages x and x+n,70-74 years,0.054,0.037,azerbaijan,0.0455
nMx - age-specific death rate between ages x and x+n,75-79 years,0.079,0.063,azerbaijan,0.071
nMx - age-specific death rate between ages x and x+n,80-84 years,0.125,0.092,azerbaijan,0.1085
nMx - age-specific death rate between ages x and x+n,85+ years,0.218,0.183,azerbaijan,0.2005
nMx - age-specific death rate between ages x and x+n,<1 year,0.011,0.009,georgia,0.01
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,georgia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,georgia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,georgia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,georgia,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,georgia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,georgia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,georgia,0.0015
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.001,georgia,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.002,georgia,0.0035
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.003,georgia,0.0055
nMx - age-specific death rate between ages x and x+n,50-54 years,0.013,0.004,georgia,0.0085
nMx - age-specific death rate between ages x and x+n,55-59 years,0.019,0.007,georgia,0.013
nMx - age-specific death rate between ages x and x+n,60-64 years,0.029,0.011,georgia,0.02
nMx - age-specific death rate between ages x and x+n,65-69 years,0.032,0.014,georgia,0.023
nMx - age-specific death rate between ages x and x+n,70-74 years,0.062,0.032,georgia,0.047
nMx - age-specific death rate between ages x and x+n,75-79 years,0.088,0.059,georgia,0.0735
nMx - age-specific death rate between ages x and x+n,80-84 years,0.15,0.115,georgia,0.1325
nMx - age-specific death rate between ages x and x+n,85+ years,0.254,0.236,georgia,0.245
nMx - age-specific death rate between ages x and x+n,<1 year,0.02,0.017,kazakhstan,0.0185
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,kazakhstan,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,kazakhstan,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,kazakhstan,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,kazakhstan,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,kazakhstan,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,kazakhstan,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.001,kazakhstan,0.0015
