Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,<1 year,0.06,0.051,afghanistan,0.0555
nMx - age-specific death rate between ages x and x+n,01-04 years,0.005,0.005,afghanistan,0.005
nMx - age-specific death rate between ages x and x+n,05-09 years,0.002,0.002,afghanistan,0.002
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.001,afghanistan,0.0015
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,afghanistan,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,afghanistan,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.003,afghanistan,0.0035
nMx - age-specific death rate between ages x and x+n,30-34 years,0.004,0.003,afghanistan,0.0035
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.004,afghanistan,0.0045
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.005,afghanistan,0.0055
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.006,afghanistan,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.009,afghanistan,0.0105
nMx - age-specific death rate between ages x and x+n,55-59 years,0.017,0.013,afghanistan,0.015
nMx - age-specific death rate between ages x and x+n,60-64 years,0.026,0.02,afghanistan,0.023
nMx - age-specific death rate between ages x and x+n,65-69 years,0.041,0.032,afghanistan,0.0365
nMx - age-specific death rate between ages x and x+n,70-74 years,0.064,0.052,afghanistan,0.058
nMx - age-specific death rate between ages x and x+n,75-79 years,0.099,0.085,afghanistan,0.092
nMx - age-specific death rate between ages x and x+n,80-84 years,0.155,0.138,afghanistan,0.1465
nMx - age-specific death rate between ages x and x+n,85+ years,0.264,0.242,afghanistan,0.253
nMx - age-specific death rate between ages x and x+n,<1 year,0.023,0.021,algeria,0.022
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,algeria,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,algeria,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,algeria,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,algeria,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,algeria,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,algeria,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,algeria,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,algeria,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.002,algeria,0.002
nMx - age-specific death rate between ages x and x+n,45-49 years,0.003,0.003,algeria,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.005,0.004,algeria,0.0045
nMx - age-specific death rate between ages x and x+n,55-59 years,0.007,0.006,algeria,0.0065
nMx - age-specific death rate between ages x and x+n,60-64 years,0.012,0.009,algeria,0.0105
nMx - age-specific death rate between ages x and x+n,65-69 years,0.018,0.014,algeria,0.016
nMx - age-specific death rate between ages x and x+n,70-74 years,0.029,0.023,algeria,0.026
nMx - age-specific death rate between ages x and x+n,75-79 years,0.049,0.043,algeria,0.046
nMx - age-specific death rate between ages x and x+n,80-84 years,0.083,0.079,algeria,0.081
nMx - age-specific death rate between ages x and x+n,85+ years,0.173,0.179,algeria,0.176
nMx - age-specific death rate between ages x and x+n,<1 year,0.006,0.006,bahrain,0.006
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,bahrain,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,bahrain,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,bahrain,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,bahrain,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,bahrain,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0,0,bahrain,0
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,bahrain,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,bahrain,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,bahrain,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,bahrain,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.002,0.003,bahrain,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.004,0.004,bahrain,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.009,bahrain,0.009
nMx - age-specific death rate between ages x and x+n,65-69 years,0.012,0.014,bahrain,0.013
nMx - age-specific death rate between ages x and x+n,70-74 years,0.033,0.022,bahrain,0.0275
nMx - age-specific death rate between ages x and x+n,75-79 years,0.045,0.047,bahrain,0.046
