Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,<1 year,0.03,0.027,bangladesh,0.0285
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.002,bangladesh,0.002
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0.001,bangladesh,0.0005
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,bangladesh,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,bangladesh,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0.001,bangladesh,0.001
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,bangladesh,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,bangladesh,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.002,bangladesh,0.002
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,bangladesh,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.003,bangladesh,0.0035
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.005,bangladesh,0.0065
nMx - age-specific death rate between ages x and x+n,55-59 years,0.011,0.008,bangladesh,0.0095
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.016,bangladesh,0.0195
nMx - age-specific death rate between ages x and x+n,65-69 years,0.027,0.024,bangladesh,0.0255
nMx - age-specific death rate between ages x and x+n,70-74 years,0.055,0.045,bangladesh,0.05
nMx - age-specific death rate between ages x and x+n,75-79 years,0.059,0.046,bangladesh,0.0525
nMx - age-specific death rate between ages x and x+n,80-84 years,0.089,0.072,bangladesh,0.0805
nMx - age-specific death rate between ages x and x+n,85+ years,0.151,0.125,bangladesh,0.138
nMx - age-specific death rate between ages x and x+n,<1 year,0.031,0.026,bhutan,0.0285
nMx - age-specific death rate between ages x and x+n,01-04 years,0.002,0.001,bhutan,0.0015
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,bhutan,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,bhutan,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,bhutan,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,bhutan,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.002,bhutan,0.002
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.003,bhutan,0.003
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.004,bhutan,0.004
nMx - age-specific death rate between ages x and x+n,40-44 years,0.006,0.005,bhutan,0.0055
nMx - age-specific death rate between ages x and x+n,45-49 years,0.007,0.007,bhutan,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.009,0.01,bhutan,0.0095
nMx - age-specific death rate between ages x and x+n,55-59 years,0.012,0.013,bhutan,0.0125
nMx - age-specific death rate between ages x and x+n,60-64 years,0.016,0.018,bhutan,0.017
nMx - age-specific death rate between ages x and x+n,65-69 years,0.023,0.026,bhutan,0.0245
nMx - age-specific death rate between ages x and x+n,70-74 years,0.034,0.036,bhutan,0.035
nMx - age-specific death rate between ages x and x+n,75-79 years,0.051,0.052,bhutan,0.0515
nMx - age-specific death rate between ages x and x+n,80-84 years,0.08,0.073,bhutan,0.0765
