Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,<1 year,0.008,0.008,china,0.008
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,china,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,china,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,china,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,china,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,china,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,china,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,china,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,china,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,china,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.002,china,0.002
nMx - age-specific death rate between ages x and x+n,50-54 years,0.004,0.003,china,0.0035
nMx - age-specific death rate between ages x and x+n,55-59 years,0.007,0.005,china,0.006
nMx - age-specific death rate between ages x and x+n,60-64 years,0.014,0.01,china,0.012
nMx - age-specific death rate between ages x and x+n,65-69 years,0.025,0.018,china,0.0215
nMx - age-specific death rate between ages x and x+n,70-74 years,0.045,0.032,china,0.0385
nMx - age-specific death rate between ages x and x+n,75-79 years,0.076,0.055,china,0.0655
nMx - age-specific death rate between ages x and x+n,80-84 years,0.111,0.092,china,0.1015
nMx - age-specific death rate between ages x and x+n,85+ years,0.2,0.18,china,0.19
nMx - age-specific death rate between ages x and x+n,<1 year,0.031,0.024,cambodia,0.0275
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,cambodia,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,cambodia,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,cambodia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,cambodia,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,cambodia,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,cambodia,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.003,0.002,cambodia,0.0025
nMx - age-specific death rate between ages x and x+n,35-39 years,0.004,0.003,cambodia,0.0035
nMx - age-specific death rate between ages x and x+n,40-44 years,0.005,0.003,cambodia,0.004
nMx - age-specific death rate between ages x and x+n,45-49 years,0.006,0.004,cambodia,0.005
nMx - age-specific death rate between ages x and x+n,50-54 years,0.008,0.006,cambodia,0.007
nMx - age-specific death rate between ages x and x+n,55-59 years,0.013,0.009,cambodia,0.011
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.016,cambodia,0.0195
nMx - age-specific death rate between ages x and x+n,65-69 years,0.035,0.027,cambodia,0.031
nMx - age-specific death rate between ages x and x+n,70-74 years,0.056,0.048,cambodia,0.052
nMx - age-specific death rate between ages x and x+n,75-79 years,0.087,0.08,cambodia,0.0835
nMx - age-specific death rate between ages x and x+n,80-84 years,0.137,0.125,cambodia,0.131
nMx - age-specific death rate between ages x and x+n,85+ years,0.236,0.218,cambodia,0.227
nMx - age-specific death rate between ages x and x+n,<1 year,0.024,0.02,indonesia,0.022
nMx - age-specific death rate between ages x and x+n,01-04 years,0.001,0.001,indonesia,0.001
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,indonesia,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,indonesia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0.001,indonesia,0.001
nMx - age-specific death rate between ages x and x+n,20-24 years,0.002,0.001,indonesia,0.0015
nMx - age-specific death rate between ages x and x+n,25-29 years,0.002,0.001,indonesia,0.0015
nMx - age-specific death rate between ages x and x+n,30-34 years,0.002,0.002,indonesia,0.002
nMx - age-specific death rate between ages x and x+n,35-39 years,0.003,0.002,indonesia,0.0025
nMx - age-specific death rate between ages x and x+n,40-44 years,0.004,0.003,indonesia,0.0035
nMx - age-specific death rate between ages x and x+n,45-49 years,0.006,0.005,indonesia,0.0055
nMx - age-specific death rate between ages x and x+n,50-54 years,0.01,0.007,indonesia,0.0085
nMx - age-specific death rate between ages x and x+n,55-59 years,0.016,0.01,indonesia,0.013
nMx - age-specific death rate between ages x and x+n,60-64 years,0.027,0.017,indonesia,0.022
nMx - age-specific death rate between ages x and x+n,65-69 years,0.042,0.027,indonesia,0.0345
nMx - age-specific death rate between ages x and x+n,70-74 years,0.065,0.046,indonesia,0.0555
nMx - age-specific death rate between ages x and x+n,75-79 years,0.101,0.078,indonesia,0.0895
nMx - age-specific death rate between ages x and x+n,80-84 years,0.157,0.129,indonesia,0.143
nMx - age-specific death rate between ages x and x+n,85+ years,0.265,0.239,indonesia,0.252
nMx - age-specific death rate between ages x and x+n,<1 year,0.057,0.047,laos,0.052
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.004,laos,0.004
