Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,<1 year,0.063,0.052,angola,0.0575
nMx - age-specific death rate between ages x and x+n,01-04 years,0.008,0.007,angola,0.0075
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.002,angola,0.0025
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,angola,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,angola,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,angola,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.003,angola,0.0035
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.003,angola,0.004
nMx - age-specific death rate between ages x and x+n,35-39 years,0.005,0.004,angola,0.0045
nMx - age-specific death rate between ages x and x+n,40-44 years,0.007,0.005,angola,0.006
nMx - age-specific death rate between ages x and x+n,45-49 years,0.008,0.006,angola,0.007
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.008,angola,0.01
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.011,angola,0.013
nMx - age-specific death rate between ages x and x+n,60-64 years,0.023,0.017,angola,0.02
nMx - age-specific death rate between ages x and x+n,65-69 years,0.035,0.028,angola,0.0315
nMx - age-specific death rate between ages x and x+n,70-74 years,0.056,0.046,angola,0.051
nMx - age-specific death rate between ages x and x+n,75-79 years,0.088,0.074,angola,0.081
nMx - age-specific death rate between ages x and x+n,80-84 years,0.139,0.121,angola,0.13
nMx - age-specific death rate between ages x and x+n,85+ years,0.246,0.219,angola,0.2325
nMx - age-specific death rate between ages x and x+n,<1 year,0.103,0.088,CentralAfricanRepublic,0.0955
nMx - age-specific death rate between ages x and x+n,01-04 years,0.01,0.01,CentralAfricanRepublic,0.01
nMx - age-specific death rate between ages x and x+n,05-09 years,0.004,0.003,CentralAfricanRepublic,0.0035
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,CentralAfricanRepublic,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.005,0.004,CentralAfricanRepublic,0.0045
nMx - age-specific death rate between ages x and x+n,20-24 years,0.007,0.005,CentralAfricanRepublic,0.006
nMx - age-specific death rate between ages x and x+n,25-29 years,0.008,0.006,CentralAfricanRepublic,0.007
nMx - age-specific death rate between ages x and x+n,30-34 years,0.009,0.008,CentralAfricanRepublic,0.0085
nMx - age-specific death rate between ages x and x+n,35-39 years,0.012,0.012,CentralAfricanRepublic,0.012
nMx - age-specific death rate between ages x and x+n,40-44 years,0.015,0.015,CentralAfricanRepublic,0.015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.017,0.016,CentralAfricanRepublic,0.0165
nMx - age-specific death rate between ages x and x+n,50-54 years,0.019,0.016,CentralAfricanRepublic,0.0175
nMx - age-specific death rate between ages x and x+n,55-59 years,0.022,0.018,CentralAfricanRepublic,0.02
nMx - age-specific death rate between ages x and x+n,60-64 years,0.029,0.024,CentralAfricanRepublic,0.0265
nMx - age-specific death rate between ages x and x+n,65-69 years,0.041,0.035,CentralAfricanRepublic,0.038
nMx - age-specific death rate between ages x and x+n,70-74 years,0.062,0.055,CentralAfricanRepublic,0.0585
nMx - age-specific death rate between ages x and x+n,75-79 years,0.097,0.086,CentralAfricanRepublic,0.0915
nMx - age-specific death rate between ages x and x+n,80-84 years,0.15,0.136,CentralAfricanRepublic,0.143
nMx - age-specific death rate between ages x and x+n,85+ years,0.257,0.232,CentralAfricanRepublic,0.2445
nMx - age-specific death rate between ages x and x+n,<1 year,0.044,0.036,congo,0.04
nMx - age-specific death rate between ages x and x+n,01-04 years,0.004,0.004,congo,0.004
nMx - age-specific death rate between ages x and x+n,05-09 years,0.001,0.001,congo,0.001
nMx - age-specific death rate between ages x and x+n,10-14 years,0.001,0.001,congo,0.001
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,congo,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,congo,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.004,congo,0.004
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.004,congo,0.0045
nMx - age-specific death rate between ages x and x+n,35-39 years,0.006,0.006,congo,0.006
nMx - age-specific death rate between ages x and x+n,40-44 years,0.008,0.007,congo,0.0075
nMx - age-specific death rate between ages x and x+n,45-49 years,0.009,0.008,congo,0.0085
nMx - age-specific death rate between ages x and x+n,50-54 years,0.012,0.01,congo,0.011
nMx - age-specific death rate between ages x and x+n,55-59 years,0.015,0.012,congo,0.0135
nMx - age-specific death rate between ages x and x+n,60-64 years,0.022,0.018,congo,0.02
nMx - age-specific death rate between ages x and x+n,65-69 years,0.033,0.028,congo,0.0305
nMx - age-specific death rate between ages x and x+n,70-74 years,0.051,0.045,congo,0.048
nMx - age-specific death rate between ages x and x+n,75-79 years,0.081,0.073,congo,0.077
nMx - age-specific death rate between ages x and x+n,80-84 years,0.129,0.12,congo,0.1245
nMx - age-specific death rate between ages x and x+n,85+ years,0.234,0.217,congo,0.2255
nMx - age-specific death rate between ages x and x+n,<1 year,0.082,0.07,drc,0.076
nMx - age-specific death rate between ages x and x+n,01-04 years,0.006,0.006,drc,0.006
nMx - age-specific death rate between ages x and x+n,05-09 years,0.003,0.003,drc,0.003
nMx - age-specific death rate between ages x and x+n,10-14 years,0.002,0.002,drc,0.002
nMx - age-specific death rate between ages x and x+n,15-19  years,0.003,0.002,drc,0.0025
nMx - age-specific death rate between ages x and x+n,20-24 years,0.004,0.003,drc,0.0035
nMx - age-specific death rate between ages x and x+n,25-29 years,0.004,0.004,drc,0.004
nMx - age-specific death rate between ages x and x+n,30-34 years,0.005,0.004,drc,0.0045
