Indicator,Age Group,Male,Female,,both
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.003,australia,0.0035
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,australia,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,australia,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,australia,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,australia,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,australia,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,australia,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,australia,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,australia,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,australia,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,australia,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,australia,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.003,australia,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.008,0.005,australia,0.0065
nMx - age-specific death rate between ages x and x+n,65-69 years,0.012,0.007,australia,0.0095
nMx - age-specific death rate between ages x and x+n,70-74 years,0.019,0.012,australia,0.0155
nMx - age-specific death rate between ages x and x+n,75-79 years,0.032,0.022,australia,0.027
nMx - age-specific death rate between ages x and x+n,80-84 years,0.059,0.043,australia,0.051
nMx - age-specific death rate between ages x and x+n,85+ years,0.152,0.135,australia,0.1435
nMx - age-specific death rate between ages x and x+n,<1 year,0.004,0.004,newzealand,0.004
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,newzealand,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,newzealand,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,newzealand,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0.001,0,newzealand,0.0005
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,newzealand,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,newzealand,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,newzealand,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0.001,newzealand,0.001
nMx - age-specific death rate between ages x and x+n,40-44 years,0.002,0.001,newzealand,0.0015
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.002,newzealand,0.002
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.003,newzealand,0.003
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.003,newzealand,0.004
nMx - age-specific death rate between ages x and x+n,60-64 years,0.007,0.005,newzealand,0.006
nMx - age-specific death rate between ages x and x+n,65-69 years,0.011,0.008,newzealand,0.0095
nMx - age-specific death rate between ages x and x+n,70-74 years,0.023,0.014,newzealand,0.0185
nMx - age-specific death rate between ages x and x+n,75-79 years,0.032,0.024,newzealand,0.028
nMx - age-specific death rate between ages x and x+n,80-84 years,0.06,0.044,newzealand,0.052
nMx - age-specific death rate between ages x and x+n,85+ years,0.154,0.138,newzealand,0.146
nMx - age-specific death rate between ages x and x+n,<1 year,0.008,0.007,brunei,0.0075
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,brunei,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,brunei,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,brunei,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,brunei,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0.001,0,brunei,0.0005
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0.001,brunei,0.001
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0.001,brunei,0.001
nMx - age-specific death rate between ages x and x+n,35-39 years,0.002,0.001,brunei,0.0015
nMx - age-specific death rate between ages x and x+n,40-44 years,0.003,0.002,brunei,0.0025
nMx - age-specific death rate between ages x and x+n,45-49 years,0.004,0.002,brunei,0.003
nMx - age-specific death rate between ages x and x+n,50-54 years,0.005,0.004,brunei,0.0045
nMx - age-specific death rate between ages x and x+n,55-59 years,0.007,0.006,brunei,0.0065
nMx - age-specific death rate between ages x and x+n,60-64 years,0.012,0.009,brunei,0.0105
nMx - age-specific death rate between ages x and x+n,65-69 years,0.021,0.017,brunei,0.019
nMx - age-specific death rate between ages x and x+n,70-74 years,0.037,0.034,brunei,0.0355
nMx - age-specific death rate between ages x and x+n,75-79 years,0.065,0.051,brunei,0.058
nMx - age-specific death rate between ages x and x+n,80-84 years,0.102,0.091,brunei,0.0965
nMx - age-specific death rate between ages x and x+n,85+ years,0.201,0.192,brunei,0.1965
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.002,japan,0.002
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,japan,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,japan,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,japan,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,japan,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,japan,0
nMx - age-specific death rate between ages x and x+n,25-29 years,0.001,0,japan,0.0005
nMx - age-specific death rate between ages x and x+n,30-34 years,0.001,0,japan,0.0005
nMx - age-specific death rate between ages x and x+n,35-39 years,0.001,0,japan,0.0005
nMx - age-specific death rate between ages x and x+n,40-44 years,0.001,0.001,japan,0.001
nMx - age-specific death rate between ages x and x+n,45-49 years,0.002,0.001,japan,0.0015
nMx - age-specific death rate between ages x and x+n,50-54 years,0.003,0.002,japan,0.0025
nMx - age-specific death rate between ages x and x+n,55-59 years,0.005,0.002,japan,0.0035
nMx - age-specific death rate between ages x and x+n,60-64 years,0.009,0.004,japan,0.0065
nMx - age-specific death rate between ages x and x+n,65-69 years,0.012,0.005,japan,0.0085
nMx - age-specific death rate between ages x and x+n,70-74 years,0.021,0.009,japan,0.015
nMx - age-specific death rate between ages x and x+n,75-79 years,0.034,0.016,japan,0.025
nMx - age-specific death rate between ages x and x+n,80-84 years,0.064,0.032,japan,0.048
nMx - age-specific death rate between ages x and x+n,85+ years,0.157,0.119,japan,0.138
nMx - age-specific death rate between ages x and x+n,<1 year,0.002,0.002,singapore,0.002
nMx - age-specific death rate between ages x and x+n,01-04 years,0,0,singapore,0
nMx - age-specific death rate between ages x and x+n,05-09 years,0,0,singapore,0
nMx - age-specific death rate between ages x and x+n,10-14 years,0,0,singapore,0
nMx - age-specific death rate between ages x and x+n,15-19  years,0,0,singapore,0
nMx - age-specific death rate between ages x and x+n,20-24 years,0,0,singapore,0
