Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,109117385,53017320,56100065,100,100,100,94.5
Custom Region,Aggregated,2017,0-4,5251635,2703777,2547858,4.8,5.1,4.5,106.1
Custom Region,Aggregated,2017,05-Sep,5571660,2868221,2703439,5.1,5.4,4.8,106.1
Custom Region,Aggregated,2017,Oct-14,5307704,2732536,2575168,4.9,5.2,4.6,106.1
Custom Region,Aggregated,2017,15-19,5583065,2874661,2708404,5.1,5.4,4.8,106.1
Custom Region,Aggregated,2017,20-24,6336761,3258188,3078573,5.8,6.1,5.5,105.8
Custom Region,Aggregated,2017,25-29,7480861,3820207,3660654,6.9,7.2,6.5,104.4
Custom Region,Aggregated,2017,30-34,8302384,4232744,4069640,7.6,8,7.3,104
Custom Region,Aggregated,2017,35-39,8709863,4422842,4287021,8,8.3,7.6,103.2
Custom Region,Aggregated,2017,40-44,8666923,4383556,4283367,7.9,8.3,7.6,102.3
Custom Region,Aggregated,2017,45-49,7695931,3850297,3845634,7.1,7.3,6.9,100.1
Custom Region,Aggregated,2017,50-54,6819161,3377328,3441833,6.2,6.4,6.1,98.1
Custom Region,Aggregated,2017,55-59,7218428,3486209,3732219,6.6,6.6,6.7,93.4
Custom Region,Aggregated,2017,60-64,7577727,3549248,4028479,6.9,6.7,7.2,88.1
Custom Region,Aggregated,2017,65-69,6403825,2875010,3528815,5.9,5.4,6.3,81.5
Custom Region,Aggregated,2017,70-74,4221237,1779120,2442117,3.9,3.4,4.4,72.9
Custom Region,Aggregated,2017,75-79,3410538,1312490,2098048,3.1,2.5,3.7,62.6
Custom Region,Aggregated,2017,80-84,2481689,867163,1614526,2.3,1.6,2.9,53.7
Custom Region,Aggregated,2017,85-89,1419446,446985,972461,1.3,0.8,1.7,46
Custom Region,Aggregated,2017,90-94,533818,145059,388759,0.5,0.3,0.7,37.3
Custom Region,Aggregated,2017,95-99,110988,28189,82799,0.1,0.1,0.1,34
Custom Region,Aggregated,2017,100+,13741,3490,10251,0,0,0,34
