Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,249793619,123152894,126640725,100,100,100,97.2
Custom Region,Aggregated,2017,0-4,22699913,11618283,11081630,9.1,9.4,8.8,104.8
Custom Region,Aggregated,2017,05-Sep,22538426,11531554,11006872,9,9.4,8.7,104.8
Custom Region,Aggregated,2017,Oct-14,22448058,11471716,10976342,9,9.3,8.7,104.5
Custom Region,Aggregated,2017,15-19,22428397,11414876,11013521,9,9.3,8.7,103.6
Custom Region,Aggregated,2017,20-24,22182340,11205537,10976803,8.9,9.1,8.7,102.1
Custom Region,Aggregated,2017,25-29,21115628,10574775,10540853,8.5,8.6,8.3,100.3
Custom Region,Aggregated,2017,30-34,19279326,9555456,9723870,7.7,7.8,7.7,98.3
Custom Region,Aggregated,2017,35-39,17174247,8367277,8806970,6.9,6.8,7,95
Custom Region,Aggregated,2017,40-44,16062951,7787180,8275771,6.4,6.3,6.5,94.1
Custom Region,Aggregated,2017,45-49,14572957,6998884,7574073,5.8,5.7,6,92.4
Custom Region,Aggregated,2017,50-54,12853425,6069908,6783517,5.1,4.9,5.4,89.5
Custom Region,Aggregated,2017,55-59,10823231,5064495,5758736,4.3,4.1,4.5,87.9
Custom Region,Aggregated,2017,60-64,8441259,3899977,4541282,3.4,3.2,3.6,85.9
Custom Region,Aggregated,2017,65-69,6216393,2840245,3376148,2.5,2.3,2.7,84.1
Custom Region,Aggregated,2017,70-74,4514251,2026772,2487479,1.8,1.6,2,81.5
Custom Region,Aggregated,2017,75-79,3152045,1384024,1768021,1.3,1.1,1.4,78.3
Custom Region,Aggregated,2017,80-84,1944607,822925,1121682,0.8,0.7,0.9,73.4
Custom Region,Aggregated,2017,85-89,963862,383035,580827,0.4,0.3,0.5,65.9
Custom Region,Aggregated,2017,90-94,316204,114476,201728,0.1,0.1,0.2,56.7
Custom Region,Aggregated,2017,95-99,59733,19561,40172,0,0,0,48.7
Custom Region,Aggregated,2017,100+,6366,1938,4428,0,0,0,43.8
