Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,4543126,2304889,2238237,100,100,100,103
Custom Region,Aggregated,2017,0-4,625284,321235,304049,13.8,13.9,13.6,105.7
Custom Region,Aggregated,2017,05-Sep,609435,312947,296488,13.4,13.6,13.2,105.6
Custom Region,Aggregated,2017,Oct-14,572124,293153,278971,12.6,12.7,12.5,105.1
Custom Region,Aggregated,2017,15-19,510959,260626,250333,11.2,11.3,11.2,104.1
Custom Region,Aggregated,2017,20-24,457725,231525,226200,10.1,10,10.1,102.4
Custom Region,Aggregated,2017,25-29,389832,196039,193793,8.6,8.5,8.7,101.2
Custom Region,Aggregated,2017,30-34,284087,141888,142199,6.3,6.2,6.4,99.8
Custom Region,Aggregated,2017,35-39,245989,122647,123342,5.4,5.3,5.5,99.4
Custom Region,Aggregated,2017,40-44,205079,102349,102730,4.5,4.4,4.6,99.6
Custom Region,Aggregated,2017,45-49,172356,86472,85884,3.8,3.8,3.8,100.7
Custom Region,Aggregated,2017,50-54,142830,72983,69847,3.1,3.2,3.1,104.5
Custom Region,Aggregated,2017,55-59,111491,57560,53931,2.5,2.5,2.4,106.7
Custom Region,Aggregated,2017,60-64,74371,38676,35695,1.6,1.7,1.6,108.4
Custom Region,Aggregated,2017,65-69,53556,27513,26043,1.2,1.2,1.2,105.6
Custom Region,Aggregated,2017,70-74,37367,17787,19580,0.8,0.8,0.9,90.8
Custom Region,Aggregated,2017,75-79,24664,10985,13679,0.5,0.5,0.6,80.3
Custom Region,Aggregated,2017,80-84,16068,6753,9315,0.4,0.3,0.4,72.5
Custom Region,Aggregated,2017,85-89,7301,2831,4470,0.2,0.1,0.2,63.3
Custom Region,Aggregated,2017,90-94,2188,787,1401,0,0,0.1,56.2
Custom Region,Aggregated,2017,95-99,383,123,260,0,0,0,47.3
Custom Region,Aggregated,2017,100+,37,10,27,0,0,0,37
