Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,385782344,191809361,193972983,100,100,100,98.9
Custom Region,Aggregated,2017,0-4,62138128,31284708,30853420,16.1,16.3,15.9,101.4
Custom Region,Aggregated,2017,05-Sep,56059329,28132474,27926855,14.5,14.7,14.4,100.7
Custom Region,Aggregated,2017,Oct-14,49817281,24938737,24878544,12.9,13,12.8,100.2
Custom Region,Aggregated,2017,15-19,42262163,21082219,21179944,11,11,10.9,99.5
Custom Region,Aggregated,2017,20-24,35323031,17583610,17739421,9.2,9.2,9.1,99.1
Custom Region,Aggregated,2017,25-29,30202098,14984124,15217974,7.8,7.8,7.8,98.5
Custom Region,Aggregated,2017,30-34,25248376,12500230,12748146,6.5,6.5,6.6,98.1
Custom Region,Aggregated,2017,35-39,20893889,10375108,10518781,5.4,5.4,5.4,98.6
Custom Region,Aggregated,2017,40-44,16277080,8152916,8124164,4.2,4.3,4.2,100.4
Custom Region,Aggregated,2017,45-49,12705693,6378023,6327670,3.3,3.3,3.3,100.8
Custom Region,Aggregated,2017,50-54,10041290,4988700,5052590,2.6,2.6,2.6,98.7
Custom Region,Aggregated,2017,55-59,7965739,3840694,4125045,2.1,2,2.1,93.1
Custom Region,Aggregated,2017,60-64,6046577,2804354,3242223,1.6,1.5,1.7,86.5
Custom Region,Aggregated,2017,65-69,4412741,1997430,2415311,1.1,1,1.2,82.7
Custom Region,Aggregated,2017,70-74,3037608,1352418,1685190,0.8,0.7,0.9,80.3
Custom Region,Aggregated,2017,75-79,1898750,819260,1079490,0.5,0.4,0.6,75.9
Custom Region,Aggregated,2017,80-84,991605,412504,579101,0.3,0.2,0.3,71.2
Custom Region,Aggregated,2017,85-89,366239,146004,220235,0.1,0.1,0.1,66.3
Custom Region,Aggregated,2017,90-94,83468,31834,51634,0,0,0,61.7
Custom Region,Aggregated,2017,95-99,10488,3744,6744,0,0,0,55.5
Custom Region,Aggregated,2017,100+,771,270,501,0,0,0,53.9
