Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,184295204,90199818,94095386,100,100,100,95.9
Custom Region,Aggregated,2017,0-4,7552041,3876522,3675519,4.1,4.3,3.9,105.5
Custom Region,Aggregated,2017,05-Sep,8143343,4183210,3960133,4.4,4.6,4.2,105.6
Custom Region,Aggregated,2017,Oct-14,8234673,4263038,3971635,4.5,4.7,4.2,107.3
Custom Region,Aggregated,2017,15-19,9437824,4940355,4497469,5.1,5.5,4.8,109.8
Custom Region,Aggregated,2017,20-24,10344399,5437463,4906936,5.6,6,5.2,110.8
Custom Region,Aggregated,2017,25-29,10330861,5266809,5064052,5.6,5.8,5.4,104
Custom Region,Aggregated,2017,30-34,11362575,5693733,5668842,6.2,6.3,6,100.4
Custom Region,Aggregated,2017,35-39,12577289,6320238,6257051,6.8,7,6.6,101
Custom Region,Aggregated,2017,40-44,13620121,6765106,6855015,7.4,7.5,7.3,98.7
Custom Region,Aggregated,2017,45-49,13843007,6894606,6948401,7.5,7.6,7.4,99.2
Custom Region,Aggregated,2017,50-54,12306983,6107975,6199008,6.7,6.8,6.6,98.5
Custom Region,Aggregated,2017,55-59,12088707,6047098,6041609,6.6,6.7,6.4,100.1
Custom Region,Aggregated,2017,60-64,11369468,5646875,5722593,6.2,6.3,6.1,98.7
Custom Region,Aggregated,2017,65-69,12476762,6075318,6401444,6.8,6.7,6.8,94.9
Custom Region,Aggregated,2017,70-74,9571362,4513620,5057742,5.2,5,5.4,89.2
Custom Region,Aggregated,2017,75-79,8252887,3660561,4592326,4.5,4.1,4.9,79.7
Custom Region,Aggregated,2017,80-84,6258104,2504970,3753134,3.4,2.8,4,66.7
Custom Region,Aggregated,2017,85-89,3944439,1362375,2582064,2.1,1.5,2.7,52.8
Custom Region,Aggregated,2017,90-94,1885132,513994,1371138,1,0.6,1.5,37.5
Custom Region,Aggregated,2017,95-99,576513,109071,467442,0.3,0.1,0.5,23.3
Custom Region,Aggregated,2017,100+,118714,16881,101833,0.1,0,0.1,16.6
