Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,587288739,302176404,285112335,100,100,100,106
Custom Region,Aggregated,2017,0-4,65387970,33465088,31922882,11.1,11.1,11.2,104.8
Custom Region,Aggregated,2017,05-Sep,60354847,30893320,29461527,10.3,10.2,10.3,104.9
Custom Region,Aggregated,2017,Oct-14,55288955,28308753,26980202,9.4,9.4,9.5,104.9
Custom Region,Aggregated,2017,15-19,51928142,26601523,25326619,8.8,8.8,8.9,105
Custom Region,Aggregated,2017,20-24,50612469,26015518,24596951,8.6,8.6,8.6,105.8
Custom Region,Aggregated,2017,25-29,51790257,26723405,25066852,8.8,8.8,8.8,106.6
Custom Region,Aggregated,2017,30-34,49427263,25700071,23727192,8.4,8.5,8.3,108.3
Custom Region,Aggregated,2017,35-39,44552617,23562317,20990300,7.6,7.8,7.4,112.3
Custom Region,Aggregated,2017,40-44,37203637,19841075,17362562,6.3,6.6,6.1,114.3
Custom Region,Aggregated,2017,45-49,31416962,16508871,14908091,5.3,5.5,5.2,110.7
Custom Region,Aggregated,2017,50-54,25609246,13275209,12334037,4.4,4.4,4.3,107.6
Custom Region,Aggregated,2017,55-59,20394931,10429594,9965337,3.5,3.5,3.5,104.7
Custom Region,Aggregated,2017,60-64,15631475,7855024,7776451,2.7,2.6,2.7,101
Custom Region,Aggregated,2017,65-69,10770187,5262889,5507298,1.8,1.7,1.9,95.6
Custom Region,Aggregated,2017,70-74,7259395,3464928,3794467,1.2,1.1,1.3,91.3
Custom Region,Aggregated,2017,75-79,4926056,2266013,2660043,0.8,0.7,0.9,85.2
Custom Region,Aggregated,2017,80-84,2957983,1301919,1656064,0.5,0.4,0.6,78.6
Custom Region,Aggregated,2017,85-89,1332479,541241,791238,0.2,0.2,0.3,68.4
Custom Region,Aggregated,2017,90-94,379175,138825,240350,0.1,0,0.1,57.8
Custom Region,Aggregated,2017,95-99,58930,19194,39736,0,0,0,48.3
Custom Region,Aggregated,2017,100+,5763,1627,4136,0,0,0,39.3
