Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,9573363,4874014,4699349,100,100,100,103.7
Custom Region,Aggregated,2017,0-4,1059949,541182,518767,11.1,11.1,11,104.3
Custom Region,Aggregated,2017,05-Sep,1050122,535532,514590,11,11,11,104.1
Custom Region,Aggregated,2017,Oct-14,1029411,524483,504928,10.8,10.8,10.7,103.9
Custom Region,Aggregated,2017,15-19,976245,496455,479790,10.2,10.2,10.2,103.5
Custom Region,Aggregated,2017,20-24,889251,450633,438618,9.3,9.2,9.3,102.7
Custom Region,Aggregated,2017,25-29,775976,392503,383473,8.1,8.1,8.2,102.4
Custom Region,Aggregated,2017,30-34,682761,346212,336549,7.1,7.1,7.2,102.9
Custom Region,Aggregated,2017,35-39,648439,330024,318415,6.8,6.8,6.8,103.6
Custom Region,Aggregated,2017,40-44,578201,296128,282073,6,6.1,6,105
Custom Region,Aggregated,2017,45-49,479804,249848,229956,5,5.1,4.9,108.7
Custom Region,Aggregated,2017,50-54,398886,209062,189824,4.2,4.3,4,110.1
Custom Region,Aggregated,2017,55-59,316821,163268,153553,3.3,3.3,3.3,106.3
Custom Region,Aggregated,2017,60-64,245140,122009,123131,2.6,2.5,2.6,99.1
Custom Region,Aggregated,2017,65-69,184094,90567,93527,1.9,1.9,2,96.8
Custom Region,Aggregated,2017,70-74,123462,62062,61400,1.3,1.3,1.3,101.1
Custom Region,Aggregated,2017,75-79,76594,37225,39369,0.8,0.8,0.8,94.6
Custom Region,Aggregated,2017,80-84,39186,18206,20980,0.4,0.4,0.4,86.8
Custom Region,Aggregated,2017,85-89,14760,6789,7971,0.2,0.1,0.2,85.2
Custom Region,Aggregated,2017,90-94,3689,1613,2076,0,0,0,77.7
Custom Region,Aggregated,2017,95-99,529,199,330,0,0,0,60.3
Custom Region,Aggregated,2017,100+,43,14,29,0,0,0,48.3
