Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,582745613,299871515,282874098,100,100,100,106
Custom Region,Aggregated,2017,0-4,64762686,33143853,31618833,11.1,11.1,11.2,104.8
Custom Region,Aggregated,2017,05-Sep,59745412,30580373,29165039,10.3,10.2,10.3,104.9
Custom Region,Aggregated,2017,Oct-14,54716831,28015600,26701231,9.4,9.3,9.4,104.9
Custom Region,Aggregated,2017,15-19,51417183,26340897,25076286,8.8,8.8,8.9,105
Custom Region,Aggregated,2017,20-24,50154744,25783993,24370751,8.6,8.6,8.6,105.8
Custom Region,Aggregated,2017,25-29,51400425,26527366,24873059,8.8,8.8,8.8,106.7
Custom Region,Aggregated,2017,30-34,49143176,25558183,23584993,8.4,8.5,8.3,108.4
Custom Region,Aggregated,2017,35-39,44306628,23439670,20866958,7.6,7.8,7.4,112.3
Custom Region,Aggregated,2017,40-44,36998558,19738726,17259832,6.3,6.6,6.1,114.4
Custom Region,Aggregated,2017,45-49,31244606,16422399,14822207,5.4,5.5,5.2,110.8
Custom Region,Aggregated,2017,50-54,25466416,13202226,12264190,4.4,4.4,4.3,107.6
Custom Region,Aggregated,2017,55-59,20283440,10372034,9911406,3.5,3.5,3.5,104.6
Custom Region,Aggregated,2017,60-64,15557104,7816348,7740756,2.7,2.6,2.7,101
Custom Region,Aggregated,2017,65-69,10716631,5235376,5481255,1.8,1.7,1.9,95.5
Custom Region,Aggregated,2017,70-74,7222028,3447141,3774887,1.2,1.1,1.3,91.3
Custom Region,Aggregated,2017,75-79,4901392,2255028,2646364,0.8,0.8,0.9,85.2
Custom Region,Aggregated,2017,80-84,2941915,1295166,1646749,0.5,0.4,0.6,78.6
Custom Region,Aggregated,2017,85-89,1325178,538410,786768,0.2,0.2,0.3,68.4
Custom Region,Aggregated,2017,90-94,376987,138038,238949,0.1,0,0.1,57.8
Custom Region,Aggregated,2017,95-99,58547,19071,39476,0,0,0,48.3
Custom Region,Aggregated,2017,100+,5726,1617,4109,0,0,0,39.4
