Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,355036447,174635261,180401186,100,100,100,96.8
Custom Region,Aggregated,2017,0-4,18053273,9264545,8788728,5.1,5.3,4.9,105.4
Custom Region,Aggregated,2017,05-Sep,18564241,9519893,9044348,5.2,5.5,5,105.3
Custom Region,Aggregated,2017,Oct-14,18174049,9308700,8865349,5.1,5.3,4.9,105
Custom Region,Aggregated,2017,15-19,18492995,9455226,9037769,5.2,5.4,5,104.6
Custom Region,Aggregated,2017,20-24,19806846,10082935,9723911,5.6,5.8,5.4,103.7
Custom Region,Aggregated,2017,25-29,22017331,11161048,10856283,6.2,6.4,6,102.8
Custom Region,Aggregated,2017,30-34,22620630,11453021,11167609,6.4,6.6,6.2,102.6
Custom Region,Aggregated,2017,35-39,23661292,11964907,11696385,6.7,6.9,6.5,102.3
Custom Region,Aggregated,2017,40-44,24517446,12358219,12159227,6.9,7.1,6.7,101.6
Custom Region,Aggregated,2017,45-49,26770206,13476782,13293424,7.5,7.7,7.4,101.4
Custom Region,Aggregated,2017,50-54,27401236,13722987,13678249,7.7,7.9,7.6,100.3
Custom Region,Aggregated,2017,55-59,24453079,12121044,12332035,6.9,6.9,6.8,98.3
Custom Region,Aggregated,2017,60-64,21103369,10302028,10801341,5.9,5.9,6,95.4
Custom Region,Aggregated,2017,65-69,19362660,9289838,10072822,5.5,5.3,5.6,92.2
Custom Region,Aggregated,2017,70-74,16297490,7615462,8682028,4.6,4.4,4.8,87.7
Custom Region,Aggregated,2017,75-79,13846039,6156143,7689896,3.9,3.5,4.3,80.1
Custom Region,Aggregated,2017,80-84,9957468,4078554,5878914,2.8,2.3,3.3,69.4
Custom Region,Aggregated,2017,85-89,6129628,2222372,3907256,1.7,1.3,2.2,56.9
Custom Region,Aggregated,2017,90-94,2845555,851953,1993602,0.8,0.5,1.1,42.7
Custom Region,Aggregated,2017,95-99,822183,201985,620198,0.2,0.1,0.3,32.6
Custom Region,Aggregated,2017,100+,139431,27619,111812,0,0,0.1,24.7
