Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Custom Region,Aggregated,2017,Total,76382531,37632709,38749822,100,100,100,97.1
Custom Region,Aggregated,2017,0-4,8292588,4164797,4127791,10.9,11.1,10.7,100.9
Custom Region,Aggregated,2017,05-Sep,7845381,3909392,3935989,10.3,10.4,10.2,99.3
Custom Region,Aggregated,2017,Oct-14,7363795,3676930,3686865,9.6,9.8,9.5,99.7
Custom Region,Aggregated,2017,15-19,7041217,3501347,3539870,9.2,9.3,9.1,98.9
Custom Region,Aggregated,2017,20-24,6960967,3399102,3561865,9.1,9,9.2,95.4
Custom Region,Aggregated,2017,25-29,7426615,3699492,3727123,9.7,9.8,9.6,99.3
Custom Region,Aggregated,2017,30-34,6960053,3532177,3427876,9.1,9.4,8.8,103
Custom Region,Aggregated,2017,35-39,5398473,2779793,2618680,7.1,7.4,6.8,106.2
Custom Region,Aggregated,2017,40-44,4216215,2158470,2057745,5.5,5.7,5.3,104.9
Custom Region,Aggregated,2017,45-49,3321297,1648265,1673032,4.3,4.4,4.3,98.5
Custom Region,Aggregated,2017,50-54,2847369,1338470,1508899,3.7,3.6,3.9,88.7
Custom Region,Aggregated,2017,55-59,2526721,1159025,1367696,3.3,3.1,3.5,84.7
Custom Region,Aggregated,2017,60-64,2086142,941279,1144863,2.7,2.5,3,82.2
Custom Region,Aggregated,2017,65-69,1578100,688901,889199,2.1,1.8,2.3,77.5
Custom Region,Aggregated,2017,70-74,1118461,478394,640067,1.5,1.3,1.7,74.7
Custom Region,Aggregated,2017,75-79,765122,316350,448772,1,0.8,1.2,70.5
Custom Region,Aggregated,2017,80-84,431493,168684,262809,0.6,0.4,0.7,64.2
Custom Region,Aggregated,2017,85-89,161446,58502,102944,0.2,0.2,0.3,56.8
Custom Region,Aggregated,2017,90-94,36343,11963,24380,0,0,0.1,49.1
Custom Region,Aggregated,2017,95-99,4446,1303,3143,0,0,0,41.5
Custom Region,Aggregated,2017,100+,287,73,214,0,0,0,34.1
