measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,1-4 years,Meningitis,Rate,2019,57.71261895,86.65993453,38.2827361
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,5-9 years,Meningitis,Rate,2019,35.16525718,59.26489022,18.74585138
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,10-14 years,Meningitis,Rate,2019,20.23254018,33.8634127,10.14768974
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,15-19 years,Meningitis,Rate,2019,15.86091316,27.72443396,8.693184474
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,20-24 years,Meningitis,Rate,2019,14.66697672,29.19179719,7.133566835
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,25-29 years,Meningitis,Rate,2019,14.18178783,22.43448975,8.090769778
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,30-34 years,Meningitis,Rate,2019,13.07611713,21.24032653,7.569223651
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,35-39 years,Meningitis,Rate,2019,10.2782397,17.39135331,6.059915027
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,40-44 years,Meningitis,Rate,2019,8.789162788,14.31743373,5.023350424
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,45-49 years,Meningitis,Rate,2019,8.600598638,14.0412986,4.787573267
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,50-54 years,Meningitis,Rate,2019,8.494286972,13.82744268,5.182643042
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,55-59 years,Meningitis,Rate,2019,8.120937473,13.47290599,4.574917415
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,60-64 years,Meningitis,Rate,2019,7.568050832,12.16591469,4.399026903
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,65-69 years,Meningitis,Rate,2019,6.930775762,10.68000488,4.16733376
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,70-74 years,Meningitis,Rate,2019,6.385853931,10.16250802,3.969960193
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,75-79 years,Meningitis,Rate,2019,6.043088439,9.578997674,3.544148133
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,80+ years,Meningitis,Rate,2019,8.216804041,11.7009338,5.61264369
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,<1 year,Meningitis,Rate,2019,159.6680783,223.4174723,113.7534227
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,1-4 years,Measles,Rate,2019,453.5949426,455.8124027,451.4335344
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,5-9 years,Measles,Rate,2019,62.7577116,63.05786322,62.4635206
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,10-14 years,Measles,Rate,2019,17.53822792,17.62380688,17.45494397
Incidence,"Central Europe, Eastern Europe, and Central Asia",Both,15-19 years,Measles,Rate,2019,6.340906916,6.372734328,6.310842251
